# Date Range: 20220101-20221231,,,,,,,,,,
# Segments: ,,,,,,,,,,
"# Metrics: ""analytics.totalVisitors, analytics.newVisits, analytics.visits, analytics.bounceRate, analytics.avgPageviews, analytics.avgSessionTime, analytics.transactionsPerVisit, analytics.transactions, analytics.transactionRevenue""",,,,,,,,,,
"# Dimensions: ""analytics.medium, analytics.country""",,,,,,,,,,
# Metric Filters: ,,,,,,,,,,
# Dimension Filters: ,,,,,,,,,,
Medium,Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
tram,Norway,5636,3415,13830,0.6581344902,2.16955893,167.481851,0.001518438178,21,4975.22
organic,Indonesia,5630,2903,10286,0.3076025666,4.124538207,298.4103636,0.01137468404,117,47544.68454
email,Ireland,5626,3287,12467,0.5074195877,2.601106922,179.3547766,0.007700328868,96,22329.98
tram,Greece,5598,2957,14483,0.6526272181,2.195056273,186.753297,0.002347579921,34,3412.88
tram,Ukraine,5595,2958,15137,0.6332166215,2.424853009,202.6306402,0.003633480875,55,6571.41
tram,Netherlands,5594,3822,10706,0.6937231459,1.996076966,130.1090043,0.002521950308,27,4217.81
cpc,Taiwan,5586,4844,7360,0.441576087,2.66548913,171.9039402,0.01752717391,129,30836.57322
(not set),Sweden,5463,3844,12276,0.05637015314,0.5667155425,178.4762138,0.002362333007,29,8815.59
cpc,Georgia,5431,4501,8882,0.3693987841,4.761202432,202.3693988,0.007092997073,63,11792.58743
(none),Bangladesh,5375,5189,8056,0.507571996,3.439920556,221.0810576,0.00459285005,37,10104.59
(none),Bolivia,5364,5113,7481,0.5206523192,3.30143029,228.6321347,0.01015906964,76,30468.81
navbar,United States,5342,167,10459,0.3852184721,3.850463715,311.7142174,0.006023520413,63,18410.03286
(none),Sri Lanka,5333,4950,7868,0.5202084392,2.991738688,214.7730046,0.007498729029,59,19093.41
cpc,Pakistan,5312,4278,7850,0.3518471338,5.780127389,207.1792357,0.003439490446,27,7221.68
tram,Czechia,5310,2654,17978,0.5896651463,2.9057181,356.8915897,0.006619201246,119,15541.6
referral,Maldives,5303,4721,8205,0.5227300427,2.047044485,177.6313224,0.0225472273,185,99556.70096
tram,Denmark,5294,3257,11751,0.6675176581,2.06833461,167.2261084,0.002638073355,31,7252.11
(not set),Turkey,5226,4052,10471,0.0633177347,0.4947951485,138.1005635,0.002005539108,21,6964.63
email,Australia,5199,3395,9700,0.5451546392,2.283814433,158.6694845,0.005154639175,50,20173.93525
referral,Montenegro,5170,4437,8776,0.5518459435,2.200205105,216.777917,0.05184594348,455,121669.789
tram,Brazil,5138,3046,11049,0.6406914653,2.244366006,191.1653543,0.0028961897,32,5755.56
(none),Armenia,5129,4868,9265,0.4350782515,4.326605505,386.5873718,0.007879114949,73,18944.34468
(not set),Malaysia,5113,4029,8362,0.1639559914,1.609423583,176.6144463,0.01124132983,94,21741.91152
cpc,Costa Rica,5108,4196,8362,0.3065056207,5.168739536,239.1506817,0.01195886152,100,31139.88002
referral,North Macedonia,5076,4440,7448,0.5037593985,2.064044039,183.238319,0.02900107411,216,67953.14683
(none),Panama,4988,4651,7264,0.4644823789,3.983893172,257.2114537,0.008948237885,65,33735.88522
(none),North Macedonia,4955,4557,8308,0.3902262879,4.58774675,289.1712807,0.008064516129,67,14895.98568
referral,Bosnia & Herzegovina,4929,4304,7576,0.5256071806,2.132127772,188.3182418,0.02996304118,227,58585.86603
referral,Nicaragua,4849,4321,7292,0.5178277564,2.117388919,184.90565,0.0286615469,209,143445.7972
tram,Colombia,4846,3171,10727,0.6652372518,2.045119791,167.0752307,0.002889903981,31,7905.495671
s-cpm,Serbia,4832,4242,5962,0.8398188527,1.413619591,49.80057028,0,0,0
(none),Kenya,4821,4553,7166,0.4730672621,3.437203461,231.1815518,0.009489254814,68,20244.75058
s-cpm,Morocco,4813,4432,5644,0.8552445074,1.3775691,46.55031892,0,0,0
organic,Singapore,4752,2256,8120,0.3045566502,3.47044335,271.2413793,0.01403940887,114,39851.56908
tram,Poland,4742,2507,11783,0.6482220148,2.290673003,178.8143936,0.004328269541,51,13812.06
